path,youtube_id,channel_slug,channel_url,host,guest,threads,class,dedup_action,target_prefix,needs_rename,notes
source-archive/statecraft/2025-09-17/source-dialogue-works-col-larry-wilkerson-middle-east-warning-ignites-russia-vs-west-drags-everything-into-hell-2025-09-17.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-09-23/source-dialogue-works-scott-ritter-col-larry-wilkerson-israels-dead-end-charlie-kirk-iran-russia-vs-nato-2025-09-23.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Scott Ritter; Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-09-26/source-dialogue-works-amb-chas-freeman-al-qaeda-gets-a-seat-at-the-un-2025-09-26.md,,,,Nima Alkhorshid,,freeman|alkhorshid,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-09-26/source-dialogue-works-larry-c-johnson-larry-wilkerson-charlie-kirks-story-collapses-is-america-gearing-up-for-war-2025-09-26.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-01/source-dialogue-works-lawrence-wilkerson-col-larry-wilkerson-warning-signs-is-the-united-states-on-the-path-to-disaster-2025-10-01.md,,,,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-10-03/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-charlie-kirk-update-iran-war-fallout-putin-ignores-trump-2025-10-03.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-03/source-dialogue-works-martin-armstrong-trump-taking-us-into-world-war-iii-2025-10-03.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Martin Armstrong,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-07/source-dialogue-works-col-larry-wilkerson-october-7th-aftermath-israels-worst-defeat-in-history-2025-10-07.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-14/source-dialogue-works-lawrence-wilkerson-col-larry-wilkerson-the-iran-war-threat-returns-but-iran-has-transformed-into-a-military-giant-2025-10-14.md,,,,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-17/source-dialogue-works-amb-chas-freeman-how-the-u-s-is-spiraling-toward-disaster-2025-10-17.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-17/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-russia-and-iran-are-building-a-war-shield-2025-10-17.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-19/source-dialogue-works-scott-ritter-israel-s-attack-ignites-iran-s-oreshnik-moment-idf-in-ruins-l-scott-ritter-2025-10-19.md,,,,Nima Alkhorshid,Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-10-21/source-dialogue-works-col-larry-wilkerson-every-warning-sign-is-flashing-red-the-us-cant-escape-this-2025-10-21.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-24/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-the-world-is-on-the-brink-of-world-war-iii-2025-10-24.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-26/source-dialogue-works-pepe-escobar-andrei-martyanov-putin-s-bold-plan-to-cripple-nato-the-west-stunned-2025-10-26.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Pepe Escobar & Andrei Martyanov,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-10-31/source-dialogue-works-amb-chas-freeman-israel-may-not-survive-this-china-and-trump-make-their-move-2025-10-31.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-10-31/source-dialogue-works-martin-armstrong-this-is-how-world-war-iii-starts-and-it-already-has-2025-10-31.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Martin Armstrong,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-02/source-dialogue-works-scott-ritter-andrei-martyanov-its-all-blowing-up-iran-russia-vow-to-wipe-out-any-attack-2025-11-02.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Scott Ritter & Andrei Martyanov,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-11-04/source-dialogue-works-lawrence-wilkerson-col-larry-wilkerson-no-way-out-for-israel-iran-russia-nato-s-worst-fear-2025-11-04.md,,,,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-05/source-dialogue-works-scott-ritter-scott-ritter-russia-iran-just-triggered-it-all-2025-11-05.md,,,,Nima Alkhorshid,Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-07/source-dialogue-works-amb-chas-freeman-mamdani-s-victory-development-in-the-levant-and-the-wol-2025-11-07.md,WjFnv_rr6Lk,dialogue-works,https://www.youtube.com/channel/UCkF-6h_Zgf9zXNUmUB-MzTw,Nima Alkhorshid,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-09/source-dialogue-works-andrei-martyanov-alex-krainer-its-over-global-arms-control-collapses-2025-11-09.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Andrei Martyanov & Alex Krainer,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-11-13/source-dialogue-works-andrei-martyanov-frontline-falling-apart-russia-moves-to-crush-ukraine-s-2025-11-13.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Andrei Martyanov,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-14/source-dialogue-works-amb-chas-freeman-global-power-shift-ukraine-central-asia-middle-east-ven-2025-11-14.md,W-NH0DE8LDw,dialogue-works,https://www.youtube.com/channel/UCkF-6h_Zgf9zXNUmUB-MzTw,Nima Alkhorshid,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-18/source-dialogue-works-lawrence-wilkerson-col-larry-wilkerson-epstein-files-nato-s-moves-all-falling-apart-iran-closer-to-russia-2025-11-18.md,,,,Dialogue Works,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,inverted-yaml; opening:nima-host
source-archive/statecraft/2025-11-20/source-dialogue-works-andrei-martyanov-it-s-all-over-iran-russia-and-china-move-in-together-2025-11-20.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Andrei Martyanov,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-11-21/source-dialogue-works-amb-chas-freeman-why-ukraine-and-israel-are-closer-to-a-dead-end-than-ever-2025-11-21.md,,,,Nima Alkhorshid,,freeman|alkhorshid,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
